チームコード	チーム名	順番	ライセンスNo.	選手名
MP151	キヨ爺さんと仲間達	1		稲垣 誠久
MP151	キヨ爺さんと仲間達	2	624	宮崎 淳
MP151	キヨ爺さんと仲間達	3		田中 清隆
MP151	キヨ爺さんと仲間達	4	1464	島田 卓也
MP152	神ゴリ×神ガリ	1		伊藤 弘晃
MP152	神ゴリ×神ガリ	2	1304	齋藤 剛一
MP152	神ゴリ×神ガリ	3	1292	三浦 啓寛
MP152	神ゴリ×神ガリ	4		金森 白龍
MP153	5枚外は他人(ひと)の庭	1		井手 隆司
MP153	5枚外は他人(ひと)の庭	2	1341	榎 大成
MP153	5枚外は他人(ひと)の庭	3		橋口 誠也
MP153	5枚外は他人(ひと)の庭	4	1508	潟手 孝義
MP154	ライダーパンチ	1		山北 純也
MP154	ライダーパンチ	2	1258	宮崎 大輔
MP154	ライダーパンチ	3		増岡 史仁
MP154	ライダーパンチ	4		三苫 総太
MP155	頑張ろうNIPPON	1	1131	田沢 広也
MP155	頑張ろうNIPPON	2		築井 一郎
MP155	頑張ろうNIPPON	3	1498	吉山 将太
MP155	頑張ろうNIPPON	4		前原 健吾
MP156	チームサンパーク	1		田中 康平
MP156	チームサンパーク	2	1365	髙橋 俊彦
MP156	チームサンパーク	3		山中 拓也
MP156	チームサンパーク	4	806	正木 裕
MP157	club daice	1		本松 雅彦
MP157	club daice	2		古舘 豊
MP157	club daice	3		山浦 清美
MP157	club daice	4	1297	藤川 大輔
MP158	長坂君緊張しないで（笑）	1		長坂 英門
MP158	長坂君緊張しないで（笑）	2		山本 大貴
MP158	長坂君緊張しないで（笑）	3		岩切 政博
MP158	長坂君緊張しないで（笑）	4	1130	岩切 稔純
MP159	志太ロイヤルクラブ	1		赤堀 栄基
MP159	志太ロイヤルクラブ	2		土屋 喜洋
MP159	志太ロイヤルクラブ	3		西川 知徳
MP159	志太ロイヤルクラブ	4	1492	横地 優輝
MP160	高橋組	1		小林 雅弥
MP160	高橋組	2		並里 太市
MP160	高橋組	3		坂田 光邦
MP160	高橋組	4	850	高橋 桃也
MP161	パパ！アンカー任せた！！	1		木村 均
MP161	パパ！アンカー任せた！！	2	1101	村上 拓也
MP161	パパ！アンカー任せた！！	3	1099	津島 健次
MP161	パパ！アンカー任せた！！	4		寺下 晃幸
MP162	TM.I	1		田中望有徳
MP162	TM.I	2	1148	今泉 秀規
MP162	TM.I	3		井上 智博
MP162	TM.I	4		中川 誠
MP163	おさっぷず	1		玉理 敏之
MP163	おさっぷず	2		高山 悟
MP163	おさっぷず	3		久語 雄介
MP163	おさっぷず	4	1059	田中 真
MP165	りゅーの大冒険	1		石井 優輝
MP165	りゅーの大冒険	2	1368	志摩竜太郎
MP165	りゅーの大冒険	3		野末 喜弘
MP165	りゅーの大冒険	4		井上 卓也
MP166	シャバーニのオカマカラ～	1		小野 喜宏
MP166	シャバーニのオカマカラ～	2		小林 治
MP166	シャバーニのオカマカラ～	3		梅木 歩夢
MP166	シャバーニのオカマカラ～	4	1499	梅木 孝宏
MP167	とびだせ！Salt Moon	1		塩月 晃
MP167	とびだせ！Salt Moon	2	1272	山上 英章
MP167	とびだせ！Salt Moon	3		原 隆典
MP167	とびだせ！Salt Moon	4	777	内山 智昭
MP168	球速くてええのぅ	1		馬渕 隼人
MP168	球速くてええのぅ	2	1491	吉江奈津希
MP168	球速くてええのぅ	3		辻 楓土
MP168	球速くてええのぅ	4		村田 伊亮
MP169	エーツー	1	1145	棚橋 孝太
MP169	エーツー	2		小林 真吾
MP169	エーツー	3	445	青木 彰彦
MP169	エーツー	4		大塚 誠一
MP170	BREAKERS	1		池田 一登
MP170	BREAKERS	2		鷲見 和保
MP170	BREAKERS	3		柳田 啓佑
MP170	BREAKERS	4	1466	犬飼 健志
MP171	We are 95,96世代	1	1446	斎藤 祐太
MP171	We are 95,96世代	2		長澤 椋
MP171	We are 95,96世代	3		高橋 陸
MP171	We are 95,96世代	4	1427	田中 椋也
MP173	fridaynight2h	1		吉井 大生
MP173	fridaynight2h	2		村越 大祐
MP173	fridaynight2h	3		榎本 裕之
MP173	fridaynight2h	4	1382	南雲 順司
MP174	小泉一門	1		荷川取來斗
MP174	小泉一門	2		小川 慶
MP174	小泉一門	3		伊藤 亘
MP174	小泉一門	4	1114	小泉 秀幸
MP175	こーだいちゃん痩せる	1	1470	安谷屋綱大
MP175	こーだいちゃん痩せる	2		石森 文祟
MP175	こーだいちゃん痩せる	3	1450	森岡 昌嵩
MP175	こーだいちゃん痩せる	4		木下 晃貴
MP176	しんちゃんと仲間たち	1		足立 昭二
MP176	しんちゃんと仲間たち	2		此下 大介
MP176	しんちゃんと仲間たち	3		柴田 敏典
MP176	しんちゃんと仲間たち	4	1296	荒井慎太朗
MP177	WINg	1		岡田 将明
MP177	WINg	2		谷口 義宜
MP177	WINg	3		中村 洸希
MP177	WINg	4	1306	別所 翼
MP178	私は人か、カバネか！？	1		室井 勝
MP178	私は人か、カバネか！？	2	1180	斉藤 征哉
MP178	私は人か、カバネか！？	3		奈良輪竜也
MP178	私は人か、カバネか！？	4	1458	増田 優希
MP179	晃嗣と暖大にまかせた!!	1	1109	川島 賢治
MP179	晃嗣と暖大にまかせた!!	2		須田 暖大
MP179	晃嗣と暖大にまかせた!!	3		彦田 晃嗣
MP179	晃嗣と暖大にまかせた!!	4	979	須田 毅
MP180	コロナボウル沼津	1		倉持 治
MP180	コロナボウル沼津	2	1178	平井 翔
MP180	コロナボウル沼津	3		鈴木 蒼空
MP180	コロナボウル沼津	4		石黒英二郎
MP181	weight is Power	1	1507	須田 光翼
MP181	weight is Power	2		福留 誠真
MP181	weight is Power	3	1472	笹島新太郎
MP181	weight is Power	4		森 裕翔
MP182	アソビックスびさい	1		森 清隆
MP182	アソビックスびさい	2		近藤 真一
MP182	アソビックスびさい	3		林 元輝
MP182	アソビックスびさい	4	848	吉田 文啓
MP183	福チャンプルー	1	1274	福地 信之
MP183	福チャンプルー	2		佐々木 優
MP183	福チャンプルー	3		粂田 英明
MP183	福チャンプルー	4		小崎 毅雄
MP184	武男(不在)と忍2026	1		丸山 瑛豊
MP184	武男(不在)と忍2026	2		清水 佳昌
MP184	武男(不在)と忍2026	3		佐久間 忍
MP184	武男(不在)と忍2026	4	1262	川口 真一
MP185	他力本願	1	1425	伊吹 太陽
MP185	他力本願	2		千葉 鉄也
MP185	他力本願	3		山本 誠
MP185	他力本願	4		近藤 雄太
MP186	TEAM SMSI	1		櫻田 隆樹
MP186	TEAM SMSI	2		松田 富彦
MP186	TEAM SMSI	3		櫻井 昇
MP186	TEAM SMSI	4	344	石原 章夫
MP188	ヒロシくんを応援する会	1	567	早川 源司
MP188	ヒロシくんを応援する会	2		北 大志
MP188	ヒロシくんを応援する会	3		清水 明
MP188	ヒロシくんを応援する会	4		加瀬 泰志
MP189	桜ヶ丘	1		鈴木 誠昌
MP189	桜ヶ丘	2	1233	斉藤 祐哉
MP189	桜ヶ丘	3		相原 理玖
MP189	桜ヶ丘	4		山崎 直也
MP190	Forever STEEL∞	1		大城 和真
MP190	Forever STEEL∞	2		矢部圭司郎
MP190	Forever STEEL∞	3	932	ロバート･リー
MP190	Forever STEEL∞	4		D.J.Douttiel
MP191	琉球ドラゴンズ	1		髙 慎
MP191	琉球ドラゴンズ	2		島田 亮
MP191	琉球ドラゴンズ	3		高良 克也
MP191	琉球ドラゴンズ	4	1260	高良 宏也
MS001	TEAM IMON	1		鍵和田 郁
MS001	TEAM IMON	2		佐藤 和明
MS001	TEAM IMON	3		大場 昌也
MS001	TEAM IMON	4		庄 大輔
MS002	ボウルスタージェネシス	1		笠原 浩一
MS002	ボウルスタージェネシス	2		小倉 敬史
MS002	ボウルスタージェネシス	3		髙橋 直也
MS002	ボウルスタージェネシス	4		石田 学
MS003	GG4	1		落合 敏和
MS003	GG4	2		池本 満成
MS003	GG4	3		辻 武司
MS003	GG4	4		中村 桂爾
MS004	北海道クラシッククラブ道央支部	1		金井 幸輔
MS004	北海道クラシッククラブ道央支部	2		金井 大輔
MS004	北海道クラシッククラブ道央支部	3		石黒 良
MS004	北海道クラシッククラブ道央支部	4		石丸 雅浩
MS005	TYPHOON	1		中里 隆星
MS005	TYPHOON	2		高久 大和
MS005	TYPHOON	3		嘉手苅隆平
MS005	TYPHOON	4		西島本有生
MS006	セブンテンズ2026	1		中西 孝憲
MS006	セブンテンズ2026	2		澤内 佑哉
MS006	セブンテンズ2026	3		森 壽雄
MS006	セブンテンズ2026	4		大庭 弘義
MS007	田中商会	1		宜保 和志
MS007	田中商会	2		野国 心希
MS007	田中商会	3		仲田 亘
MS007	田中商会	4		豊里 司
MA001	佐澤 弘一	1		佐藤 健二
MA001	佐澤 弘一	2		倉澤 智則
MA001	佐澤 弘一	3		石川 弘
MA001	佐澤 弘一	4		福田 健一
MA002	タッパーズ180	1		中田 雅博
MA002	タッパーズ180	2		中田 智雅
MA002	タッパーズ180	3		澤崎 宰
MA002	タッパーズ180	4		金丸 勇作
MA004	チームサンスクエア	1		長坂 一也
MA004	チームサンスクエア	2		五十君哲也
MA004	チームサンスクエア	3		谷中 正利
MA004	チームサンスクエア	4		河田 慎
MA006	広島メイプルストライカーズ	1		東山 篤士
MA006	広島メイプルストライカーズ	2		松田 昂大
MA006	広島メイプルストライカーズ	3		小嶋 拓海
MA006	広島メイプルストライカーズ	4		細田 和宏
MA010	TRANS 4MEN	1		吉川 大貴
MA010	TRANS 4MEN	2		吉川 直希
MA010	TRANS 4MEN	3		塚原 一樹
MA010	TRANS 4MEN	4		兼浦 淳次
MA011	勝田 は～ん？	1		小川 優
MA011	勝田 は～ん？	2		大北 隼
MA011	勝田 は～ん？	3		谷村 風翔
MA011	勝田 は～ん？	4		岩田 勇貴
MA013	タクちゃん＋浜っこやで～！	1		吉松 勉
MA013	タクちゃん＋浜っこやで～！	2		守生 智法
MA013	タクちゃん＋浜っこやで～！	3		鎌島 拓也
MA013	タクちゃん＋浜っこやで～！	4		鈴木 真
MA014	ハイウエスト	1		岸本 涼太
MA014	ハイウエスト	2		石井 仁人
MA014	ハイウエスト	3		紺谷 涼太
MA014	ハイウエスト	4		田中 蓮将
MA018	相模の若③	1		溝井 貴裕
MA018	相模の若③	2		橋爪 大地
MA018	相模の若③	3		柳川 拓馬
MA018	相模の若③	4		森口宗太朗
MA022	TEAM･ピンより瓶	1		小林 剛
MA022	TEAM･ピンより瓶	2		西尾 剛志
MA022	TEAM･ピンより瓶	3		向井 一司
MA022	TEAM･ピンより瓶	4		弘中 秀雄
MA023	over-65	1		高橋 暁
MA023	over-65	2		伊藤 伸吾
MA023	over-65	3		福地 雅実
MA023	over-65	4		大保日出夫
MA024	KGB★2026	1		本田 裕介
MA024	KGB★2026	2		鬼頭 勇斗
MA024	KGB★2026	3		佐合 佑紀
MA024	KGB★2026	4		片山 駿
MA026	しおおにぎり	1		成田 晋
MA026	しおおにぎり	2		日野 代暉
MA026	しおおにぎり	3		鈴木 聡
MA026	しおおにぎり	4		彦坂 凜
MA029	寄せ集め	1		古川 智晴
MA029	寄せ集め	2		名古屋裕樹
MA029	寄せ集め	3		前野 真澄
MA029	寄せ集め	4		藤井 誠
MA030	珍妙団	1		澤田 海斗
MA030	珍妙団	2		今村奈津希
MA030	珍妙団	3		山本 将希
MA030	珍妙団	4		堀本 翔馬
MA033	ポリッシュHSスペシャル	1		細江 康貴
MA033	ポリッシュHSスペシャル	2		佐光 麗央
MA033	ポリッシュHSスペシャル	3		加藤 匠馬
MA033	ポリッシュHSスペシャル	4		菊地 優希
MA034	チーム忘れんぼう	1		増田 和哉
MA034	チーム忘れんぼう	2		楠本 貴士
MA034	チーム忘れんぼう	3		吉牟田慎司
MA034	チーム忘れんぼう	4		藤田 知久
MA035	イニシャルG	1		大貫 輝義
MA035	イニシャルG	2		大瀬 達也
MA035	イニシャルG	3		静 健太郎
MA035	イニシャルG	4		堀之内義樹
MA039	お祭り男	1		門田 崇聖
MA039	お祭り男	2		山本 透
MA039	お祭り男	3		大亀 慎一
MA039	お祭り男	4		井出 圭介
MA043	呑虎	1		高木 裕太
MA043	呑虎	2		水野 輝
MA043	呑虎	3		眞木 拓哉
MA043	呑虎	4		林 信彦
MA044	名古屋産業大学	1		林 優輝
MA044	名古屋産業大学	2		ジョーンズ翔太郎アレクサンダー
MA044	名古屋産業大学	3		中川 大誠
MA044	名古屋産業大学	4		小林 魁斗
MA045	北斗星	1		作本 幸宗
MA045	北斗星	2		大石 信幸
MA045	北斗星	3		山崎 八七
MA045	北斗星	4		戸澤 祐幸
MA047	推し活ボウラーず	1		佐々木 努
MA047	推し活ボウラーず	2		中口 誠也
MA047	推し活ボウラーず	3		玉腰 知玄
MA047	推し活ボウラーず	4		加藤 孝宗
MA051	ベッチーズ	1		渡部 忠義
MA051	ベッチーズ	2		樋口 孝司
MA051	ベッチーズ	3		別役 壽章
MA051	ベッチーズ	4		白和 仁志
MA053	SKYLIGHT	1		砂長 空
MA053	SKYLIGHT	2		齋藤 航琉
MA053	SKYLIGHT	3		寺田 哲仁
MA053	SKYLIGHT	4		高島 羚
